user_id	status_id	created_at	text	lang	is_quote	is_retweet
1176972089536000000	1194003713800753153	2019-11-11T21:27:23Z	"@ComedianTwets @BrunoSchunck190 @PTeumaquadrilha @ggreenwald @rafinhabastos @augustosnunes a matéria original está na reportagem, mas não posso exigir de vc esse nível de entendimento...usa o tradutor! rsrsrsr

https://t.co/KGcGmT9HEk"	pt	FALSE	FALSE
375849820	1197619659467632640	2019-11-21T20:55:52Z	@alexiuskorolev @ArkChaplygin @oschyur Держи: https://t.co/uCbw0DTeDx	ru	FALSE	FALSE
1584990492	1191880384973131776	2019-11-06T00:50:02Z	"@SaqibMeerOnline @Renevelation Your quoted research is out of date. I’m wondering why. Because it better fits your ideology? Hmm.

“We performed a genome-wide association study (GWAS) on 477,522 individuals, revealing five loci significantly associated with same-sex sexual behavior.”

https://t.co/VxONINheWY"	en	FALSE	FALSE
717244285754671104	1199253750818447360	2019-11-26T09:09:09Z	"А кому интересно то самое исследование 2019
https://t.co/PLTxEbbNcX
""all tested genetic variants — do not allow meaningful prediction of an individual’s sexual behavior"""	und	FALSE	TRUE
153748473	1199816236298846208	2019-11-27T22:24:16Z	@nDante @fedewessn @KumaFates @balkraix @MarkCFau @DaniSpinosaurus Dejo una referencia científica sobre el tema de origen y el aspecto multifactorial de la orientación sexual. https://t.co/SxO36rWj2O	es	FALSE	FALSE
153748473	1202717475122634752	2019-12-05T22:32:46Z	@idvn36 @nDante @IsacRCG @LordGauss17 @confamiliamx @mariana_fdzr @IsmaelEspanta @claumurguis @SalvadorCaro @EnriqueV01 @HecPizano @LegislativoJal @DaniSpinosaurus … artículos como éste que te presento yo, y deberá explicar dónde está el error que hace que las conclusiones del paper sean contrarias a lo que dices tú. https://t.co/SgmU7oc1oc	es	FALSE	FALSE
153748473	1202717623898779650	2019-12-05T22:33:21Z	@DaniSpinosaurus @idvn36 @nDante @IsacRCG @LordGauss17 @confamiliamx @mariana_fdzr @IsmaelEspanta @claumurguis @SalvadorCaro @EnriqueV01 @HecPizano @LegislativoJal Justo el mismo. https://t.co/aO2E8julcT	es	TRUE	FALSE
3461185633	1201541493028204545	2019-12-02T16:39:50Z	"أكبر دراسة على دور الجينات بتحديد مثلية الشخص: لا وجود لجين المثلية و بعض المتغيرات الوراثية قد تؤثر و لكن البيئة لها الدور الأكبر. 

الدراسة المنشورة : https://t.co/f528VQZEB7 https://t.co/qM6wmT96VC https://t.co/KcINgs2EdU"	ar	FALSE	TRUE
1162009818460295168	1191964820037345282	2019-11-06T06:25:33Z	"@AbrahamBercovi1 @danimaciassz Ser gay es natural y normal y crees que fuiste creado por Dios entonces el te creó así. Esta en tu adn.
https://t.co/VVc05jl9G9

https://t.co/sXkwDDx8Ca"	es	FALSE	FALSE
1162009818460295168	1192550964852666372	2019-11-07T21:14:41Z	@fedewessn @BeluLombardi_ https://t.co/sXkwDDx8Ca	und	FALSE	FALSE
